Lat,Lon
11.5944788,108.0615476
11.6000697,108.0588731
11.5939616,108.0573887
11.5956006,108.0612166
11.6011602,108.0647851
11.6024349,108.0647993
11.6040978,108.0639617
11.6040123,108.0642401
11.6041398,108.0642244
11.6051309,108.0640795
11.6040978,108.0639617
11.6040251,108.0641722
11.6041261,108.0635425
11.6045813,108.0639623
11.6057841,108.0634124
11.6058367,108.0632748
11.6036937,108.0641474
11.606133,108.0599087
11.6081762,108.0603323
11.6080495,108.0586091
11.6081135,108.0585561
11.6086564,108.0584822
11.6092966,108.0597066
11.6090115,108.0582396
11.6089565,108.0579981
11.6073128,108.0528783
11.6050236,108.0448849
11.607478,108.0530401
11.6054823,108.046142
11.6063961,108.0504594
11.606257,108.051141
11.6076383,108.04498
11.6076888,108.0449702
11.6050236,108.0448849
11.6077859,108.0460659
11.6053644,108.045162
11.6055476,108.0451043
11.60649,108.0449268
11.6064545,108.0449108
11.6065073,108.0451348
11.6079061,108.044725
11.6077347,108.0441623
11.6076826,108.0441871
11.6057947,108.0460039
11.6057975,108.0461457
11.6055264,108.0464001
11.6060736,108.0479556
11.6020193,108.0469792
11.604369,108.0464803
11.6036447,108.0435572
11.6061089,108.0410832
11.6046813,108.0413555
11.6047875,108.0398911
11.6061089,108.0410832
11.6079508,108.0370168
11.6055875,108.0411446
11.6060822,108.0399206
11.6047655,108.0401782
11.6049292,108.0411413
11.6039855,108.0434229
11.6036522,108.0437612
11.6037291,108.0429046
11.6039428,108.0385201
11.6057084,108.0417562
11.6061568,108.0394088
11.6077031,108.0400492
11.6064814,108.0388504
11.6061555,108.0387027
11.6067125,108.0381853
11.6080616,108.0351163
11.6107665,108.0265961
11.6113886,108.0258063
11.612024,108.0327455
11.6114142,108.0335757
11.6121229,108.030284
11.6111311,108.029054
11.6099318,108.0254226
11.6132975,108.0247478
11.6162806,108.0235337
11.6163482,108.0512377
11.6151921,108.0508329
11.6145124,108.044541
11.606146,108.0586855
11.6144293,108.0526448
11.6146318,108.0504062
11.6145124,108.044541
11.6144293,108.0526448
11.6151921,108.0508329
11.6165179,108.0523651
11.6152326,108.0508674
11.6146776,108.0501824
11.6143215,108.0477597
11.6151356,108.0520321
11.6148224,108.0444544
11.6228453,108.0450638
11.606146,108.0586855
11.6169794,108.050887
11.6178086,108.059443
11.6153184,108.0495715
11.6142833,108.0526107
11.6154824,108.0502122
11.6133901,108.0463433
11.6126337,108.0462838
11.6123062,108.0458472
11.6169798,108.0483891
11.6148874,108.0495729
11.6124369,108.0490541
11.6143948,108.0474921
11.6150082,108.0516584
11.6185372,108.0563555
11.6157283,108.056555
11.6157507,108.0561519
11.6157003,108.0549758
11.6185777,108.0591267
11.6154027,108.0528068
11.6061451,108.0586826
11.6164872,108.0532044
11.6153775,108.0534929
11.61676,108.05375
11.6150173,108.0510815
11.6061453,108.0586815
11.6061356,108.0586582
11.6123213,108.0478385
11.6144711,108.0526899
11.6061458,108.0586825
11.60758523,108.0570193
11.60367186,108.0588482
11.60125678,108.0591355
11.60355295,108.0588369
11.60317821,108.058737
11.60138646,108.0591738
11.59861132,108.0583049
11.59822439,108.0580475
11.59661023,108.0569789
11.59647024,108.0571249
11.59753085,108.0561143
11.59602514,108.0570599
11.59552752,108.0567572
11.59571232,108.0568609
11.59573951,108.056845
11.59559126,108.0568576
11.5946672,108.0565045
11.5939796,108.0560872
11.59798137,108.0538155
11.59599363,108.0545947
11.59554249,108.0480916
11.59455775,108.0615755
11.61214548,108.0706435
11.60367186,108.0588482
11.60125678,108.0591355
11.5913959,108.0599405
11.60548854,108.0341792
11.60326266,108.0442455
11.59738009,108.0476075
11.6031008,108.0442469
11.60326266,108.0442455
11.59808061,108.0466794
11.60309694,108.0442559
11.59699981,108.0456352
11.59808061,108.0466794
11.60311604,108.0441959
11.59699981,108.0456352
11.60341518,108.0443145
11.60335491,108.0443139
11.6030809,108.0442955
11.60287594,108.0444031
11.60103232,108.0462246
11.59600789,108.0451762
11.59590254,108.0458401
11.59665246,108.049271
11.5967101,108.0491836
11.59857376,108.0497439
11.59739143,108.0498124
11.59854899,108.0463755
11.59547183,108.0470344
11.59817689,108.0465028
11.59760879,108.0494727
11.59947493,108.046426
11.59738009,108.0476075
11.5998179,108.0464714
11.59988959,108.0464352
11.59975564,108.0463889
11.60027968,108.0463736
11.59881294,108.0457202
11.5884148,108.0056972
11.5909168,108.0075667
11.5885914,108.0052225
11.5909168,108.0075667
11.5878316,108.0064771
11.5917955,108.0056482
11.5872567,108.0061629
11.5917955,108.0056482
11.5858309,108.0067353
11.5853873,108.0074662
11.5856204,108.0090597
11.5852317,108.0093218
11.5855948,108.0091421
11.5844554,108.0090253
11.5857914,108.0081724
11.5878689,108.0064856
11.5917916,108.0056343
11.5851154,108.0082206
11.5916955,108.0056323
11.5917978,108.0056506
11.5917574,108.0056539
11.5852188,108.0087543
